"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 23, 2025","6,656.92","6,692.44","6,699.52","6,645.58","-","-0.55%"
"Sep 22, 2025","6,693.75","6,654.28","6,698.88","6,648.07","-","0.44%"
"Sep 19, 2025","6,664.36","6,647.11","6,671.82","6,630.31","-","0.49%"
"Sep 18, 2025","6,631.96","6,626.85","6,656.80","6,611.89","-","0.48%"
"Sep 17, 2025","6,600.35","6,604.87","6,624.39","6,551.15","-","-0.10%"
"Sep 16, 2025","6,606.76","6,624.13","6,626.99","6,600.11","-","-0.13%"
"Sep 15, 2025","6,615.28","6,603.49","6,619.62","6,602.07","-","0.47%"
"Sep 12, 2025","6,584.29","6,590.66","6,600.21","6,579.49","-","-0.05%"
"Sep 11, 2025","6,587.47","6,554.41","6,592.89","6,545.80","-","0.85%"
"Sep 10, 2025","6,532.04","6,550.29","6,555.97","6,516.34","-","0.30%"
"Sep 09, 2025","6,512.61","6,503.33","6,518.23","6,483.08","-","0.27%"
"Sep 08, 2025","6,495.15","6,498.09","6,508.67","6,483.29","-","0.21%"
"Sep 05, 2025","6,481.50","6,529.08","6,532.65","6,443.98","-","-0.32%"
"Sep 04, 2025","6,502.08","6,456.60","6,502.54","6,445.98","-","0.83%"
"Sep 03, 2025","6,448.26","6,445.82","6,453.67","6,416.17","-","0.51%"
"Sep 02, 2025","6,415.54","6,401.51","6,416.54","6,360.58","-","-0.69%"
"Aug 29, 2025","6,460.26","6,489.28","6,491.76","6,444.57","-","-0.64%"
"Aug 28, 2025","6,501.86","6,483.84","6,508.23","6,466.96","-","0.32%"
"Aug 27, 2025","6,481.40","6,462.26","6,487.06","6,457.84","-","0.24%"
"Aug 26, 2025","6,465.94","6,435.49","6,468.37","6,429.21","-","0.41%"
"Aug 25, 2025","6,439.32","6,457.67","6,466.89","6,438.06","-","-0.43%"
"Aug 22, 2025","6,466.91","6,384.59","6,478.89","6,384.59","-","1.52%"
"Aug 21, 2025","6,370.17","6,380.83","6,393.65","6,352.71","-","-0.40%"
"Aug 20, 2025","6,395.78","6,406.62","6,408.40","6,343.86","-","-0.24%"
"Aug 19, 2025","6,411.37","6,446.24","6,456.48","6,400.22","-","-0.59%"
"Aug 18, 2025","6,449.15","6,445.02","6,455.35","6,437.70","-","-0.01%"
"Aug 15, 2025","6,449.80","6,477.38","6,481.34","6,441.85","-","-0.29%"
"Aug 14, 2025","6,468.54","6,453.46","6,473.92","6,441.07","-","0.03%"
"Aug 13, 2025","6,466.58","6,462.67","6,480.28","6,445.02","-","0.32%"
"Aug 12, 2025","6,445.76","6,395.17","6,446.55","6,385.76","-","1.13%"
"Aug 11, 2025","6,373.45","6,389.67","6,407.25","6,364.06","-","-0.25%"
"Aug 08, 2025","6,389.45","6,355.22","6,395.16","6,355.22","-","0.78%"
"Aug 07, 2025","6,340.00","6,374.32","6,389.71","6,310.32","-","-0.08%"
"Aug 06, 2025","6,345.06","6,309.30","6,352.83","6,301.11","-","0.73%"
"Aug 05, 2025","6,299.19","6,336.63","6,346.00","6,289.37","-","-0.49%"
"Aug 04, 2025","6,329.94","6,271.71","6,330.69","6,271.71","-","1.47%"
"Aug 01, 2025","6,238.01","6,287.28","6,287.28","6,212.69","-","-1.60%"
"Jul 31, 2025","6,339.39","6,427.02","6,427.02","6,327.64","-","-0.37%"
"Jul 30, 2025","6,362.90","6,381.23","6,396.54","6,336.38","-","-0.12%"
"Jul 29, 2025","6,370.86","6,405.62","6,409.26","6,363.92","-","-0.30%"
"Jul 28, 2025","6,389.77","6,397.69","6,401.07","6,375.79","-","0.02%"
"Jul 25, 2025","6,388.64","6,370.01","6,395.82","6,368.53","-","0.40%"
"Jul 24, 2025","6,363.35","6,368.60","6,381.31","6,360.57","-","0.07%"
"Jul 23, 2025","6,358.91","6,326.90","6,360.64","6,317.49","-","0.78%"
"Jul 22, 2025","6,309.62","6,306.60","6,316.12","6,281.71","-","0.06%"
"Jul 21, 2025","6,305.60","6,304.74","6,336.08","6,303.79","-","0.14%"
"Jul 18, 2025","6,296.79","6,312.95","6,315.61","6,285.27","-","-0.01%"
"Jul 17, 2025","6,297.36","6,263.40","6,304.69","6,262.27","-","0.54%"
"Jul 16, 2025","6,263.70","6,254.50","6,268.12","6,201.59","-","0.32%"
"Jul 15, 2025","6,243.76","6,295.29","6,302.04","6,241.68","-","-0.40%"
"Jul 14, 2025","6,268.56","6,255.15","6,273.31","6,239.22","-","0.14%"
"Jul 11, 2025","6,259.75","6,255.68","6,269.44","6,237.60","-","-0.33%"
"Jul 10, 2025","6,280.46","6,266.80","6,290.22","6,251.44","-","0.27%"
"Jul 09, 2025","6,263.26","6,243.33","6,269.16","6,231.43","-","0.61%"
"Jul 08, 2025","6,225.52","6,234.03","6,242.70","6,217.75","-","-0.07%"
"Jul 07, 2025","6,229.98","6,259.04","6,262.07","6,201.00","-","-0.79%"
"Jul 03, 2025","6,279.35","6,246.46","6,284.65","6,246.46","-","0.83%"
"Jul 02, 2025","6,227.42","6,193.88","6,227.60","6,188.29","-","0.47%"
"Jul 01, 2025","6,198.01","6,187.25","6,210.78","6,177.97","-","-0.11%"
"Jun 30, 2025","6,204.95","6,193.36","6,215.08","6,174.97","-","0.52%"
"Jun 27, 2025","6,173.07","6,150.70","6,187.68","6,132.35","-","0.52%"
"Jun 26, 2025","6,141.02","6,112.09","6,146.52","6,107.27","-","0.80%"
"Jun 25, 2025","6,092.16","6,104.23","6,108.51","6,080.09","-","-0.00%"
"Jun 24, 2025","6,092.18","6,061.21","6,101.76","6,059.25","-","1.11%"
"Jun 23, 2025","6,025.17","5,969.67","6,028.77","5,943.23","-","0.96%"
"Jun 20, 2025","5,967.84","5,999.67","6,018.20","5,952.56","-","-0.22%"
"Jun 18, 2025","5,980.87","5,987.93","6,018.25","5,971.89","-","-0.03%"
"Jun 17, 2025","5,982.72","6,012.15","6,023.25","5,974.80","-","-0.84%"
